MAV,RMS,ZC,WL,STD,label
191.54,196.90815117714146,7,1011,45.66452014419948,rest
512.34,621.340244954405,2,1606,351.52727404854375,rest
115.8,131.47258269312275,1,268,62.25271078435059,rest
98.72,103.95171956249689,3,270,32.562579750382184,rest
104.22,118.09817949485928,1,271,55.54612137674421,rest
68.64,71.26317422063094,3,136,19.156993501069003,rest
30.34,30.536208016058577,2,38,3.4560671289776765,rest
44.88,45.87635556580317,3,97,9.509237614025638,rest
171.6,194.95373810214565,3,752,92.52242971301608,rest
222.56,252.20515458649928,2,1008,118.63594059137391,rest
41.52,42.77756421303111,1,68,10.296096347645548,rest
32.1,32.11261434389919,8,24,0.9,rest
31.48,31.487140232164624,19,29,0.6705221845696083,rest
29.92,29.93325909419153,12,24,0.8908422980528035,rest
30.52,30.53391556941232,10,25,0.9217374897442331,rest
30.66,30.665615924028007,13,19,0.5868560300448484,rest
29.64,29.65400478856102,8,18,0.9112628599915613,rest
30.6,30.628091680677723,10,25,1.3114877048604001,rest
28.58,28.589858341726703,10,18,0.7507329751649384,rest
27.62,27.627884464793897,16,19,0.66,rest
28.48,28.49420993816112,7,19,0.8997777503361595,rest
29.1,29.107730931833213,7,20,0.6708203932499369,rest
28.8,28.808332128049344,9,21,0.6928203230275509,rest
27.48,27.492544443903334,11,18,0.8304215796810679,rest
27.1,27.11051456538588,7,17,0.754983443527075,rest
27.08,27.09021963735252,10,21,0.744043009509531,rest
26.36,26.369679558159216,9,15,0.7144228439796702,rest
27.32,27.326909814320388,15,19,0.6144916598294887,rest
27.24,27.24628415032039,12,18,0.5851495535331118,rest
26.92,26.92582403567252,12,17,0.5599999999999999,rest
27.46,27.471075697904514,13,23,0.7799999999999999,rest
27.0,27.008146919031674,10,12,0.6633249580710799,rest
25.18,25.182930726982512,5,5,0.38418745424597095,rest
25.44,25.448772072538194,11,18,0.6681317235396026,rest
25.56,25.567948685805828,3,9,0.6374950980203691,rest
25.52,25.55621255194126,7,26,1.3599999999999999,rest
